"Country","Company Name","Department","Cost Center","Company Code"
"Find Country","Find Company Name","Find Department","Find Cost Center","0"
"HQ Houston","NESR BVI","CEMENTING           ","C011100101","1101"
"HQ Houston","NESR BVI","COILED TUBING       ","C011110101","1101"
"HQ Houston","NESR BVI","HYDRAULIC FRACTURING","C011130101","1101"
"HQ Houston","NESR BVI","PIPELINES           ","C011140101","1101"
"HQ Houston","NESR BVI","ARTIFICIAL LIFT SERV","C011180101","1101"
"HQ Houston","NESR BVI","SURFACE TESTING     ","C012300101","1101"
"HQ Houston","NESR BVI","WL LOG - OPEN HOLE  ","C012310101","1101"
"HQ Houston","NESR BVI","SLICKLINE           ","C012320101","1101"
"HQ Houston","NESR BVI","DIRECTIONAL DRILLING","C013410101","1101"
"HQ Houston","NESR BVI","TUBULAR RUNNING SERV","C013420101","1101"
"HQ Houston","NESR BVI","DRILLING FLUIDS     ","C013440101","1101"
"HQ Houston","NESR BVI","FISHING SERVICES    ","C013450101","1101"
"HQ Houston","NESR BVI","MACHINE SHOP        ","C013460101","1101"
"HQ Houston","NESR BVI","MANAGED PRESSURE DRI","C013470101","1101"
"HQ Houston","NESR BVI","MANUFACTURING       ","C013480101","1101"
"HQ Houston","NESR BVI","RIGS                ","C013490101","1101"
"HQ Houston","NESR BVI","THROUGH TUBING      ","C013500101","1101"
"HQ Houston","NESR BVI","MAINTENAN & WORKSHOP","C017700001","1101"
"HQ Houston","NESR BVI","QHSE                ","C017700002","1101"
"HQ Houston","NESR BVI","TRANSPORTATION      ","C017700003","1101"
"HQ Houston","NESR BVI","FACILITY            ","C017700004","1101"
"HQ Houston","NESR BVI","TECHNICAL MANAGEMENT","C017700005","1101"
"HQ Houston","NESR BVI","LAB CTU & CMT       ","C017700006","1101"
"HQ Houston","NESR BVI","WAREHOUSE           ","C017700007","1101"
"HQ Houston","NESR BVI","LOGISTICS           ","C017700008","1101"
"HQ Houston","NESR BVI","SUPPLY CHAIN        ","C018800001","1101"
"HQ Houston","NESR BVI","FINANCE             ","C018800002","1101"
"HQ Houston","NESR BVI","OFFICE FACILITY     ","C018800003","1101"
"HQ Houston","NESR BVI","ADMIN GOVT & SECURIT","C018800004","1101"
"HQ Houston","NESR BVI","BUSINESS DEVELOPMENT","C018800005","1101"
"HQ Houston","NESR BVI","IT                  ","C018800006","1101"
"HQ Houston","NESR BVI","HUMAN RESOURCES     ","C018800007","1101"
"HQ Houston","NESR BVI","INTERNS             ","C018800008","1101"
"HQ Houston","NESR BVI","MANAGEMENT          ","C018800009","1101"
"HQ Houston","NESR BVI","LEGAL               ","C018800010","1101"
"HQ Houston","NESR BVI","KSA HQ OVERHEAD     ","C019960001","1101"
"HQ Houston","NESR BVI","EGYPT HQ OVERHEAD   ","C019960002","1101"
"HQ Houston","NESR BVI","OMAN HQ OVERHEAD    ","C019960003","1101"
"HQ Houston","NESR BVI","ALGERIA HQ OVERHEAD ","C019960004","1101"
"HQ Houston","NESR BVI","UAE HQ OVERHEAD     ","C019960005","1101"
"HQ Houston","NESR BVI","QATAR HQ OVERHEAD   ","C019960006","1101"
"HQ Houston","NESR BVI","IRAQ HQ OVERHEAD    ","C019960007","1101"
"HQ Houston","NESR BVI","INDIA HQ OVERHEAD   ","C019960008","1101"
"HQ Houston","NESR BVI","LIBYA HQ OVERHEAD   ","C019960009","1101"
